PAIS;ISR1;ISR2;ISR3;ISR4;IAPP1;IAPP2;IG1;IG2;IG3
"Argentina";2.4;18.8;43.5;75;83.9;98.7;697;9.1;54
"Barbados";1.5;12;80.5;55;100;100;505.9;6.6;66.4
"Belice";3.1;26.6;68.4;47;98;97;126;4.8;51.2
"Bolivia";3.7;28.7;390;48;55;65;54;5.5;69.1
"Brasil";2.2;19.4;44.9;77;46;96.6;271;8.4;40.4
"Canada" ;1.5;10.1;2.4;80;100;99;2151;9.3;72.5
"Chile";2.3;18;18.7;60.6;83.1;99.8;331;7.1;65.9
"Colombia";2.6;21.9;104.9;77;91;86.4;211;9.3;54.8
"CostaRica";2.2;18.8;38;80;83;96;285;9.1;75.5
"Cuba";1.6;11.5;41.8;82;100;100;139;6.7;82.5
"Ecuador";2.7;22.6;97;66;83;69.2;65;3.9;51
"ElSalvador";2.8;24.6;120;60;76;58;161;8.2;40.3
"USA";2.1;14.5;9.8;76.4;98.9;99.4;4432.6;13.1;45.3
"Guatemala";4.3;33.6;153;38;37;41.4;91;5.4;26.4
"Guyana";2.3;21.4;133.3;31;95.3;93.8;39;4.6;80.6
"Haiti";3.9;30.1;523;28;78.8;24.2;24;5.9;41.9
"Honduras";3.6;29.4;108;50;85.3;42.2;59;7.2;36.9
"Jamaica";2.3;20.2;106.2;66;70.1;98.5;140;4.9;44.7
"Mexico";2.5;22;76.9;68;89.2;86.7;221;5.3;47.2
"Nicaragua";3.7;30.9;97;60;86.2;79.3;43;9.7;59.6
"Panam" ;2.7;22.4;71.3;58;81.6;92.1;231;6.8;72.3
"Paraguay";3.8;29.3;160.7;57;69.3;84.8;128;7.2;36.8
Peru;2.8;22.9;185;50.3;83.8;59.3;91;4.4;57.2
RDominicana;2.7;23;82;64;99;97;112;6.5;29
TrinidadTobago;1.6;13.8;44.7;53;64.2;99;214;4.5;48.5
Uruguay;2.3;16.7;11.1;84;93.1;99.7;618;10.3;46.5
Venezuela;2.7;22.5;67.2;43;25.5;95.3;437;8.7;51
