Provincia;LogAlim;LogVest;LogViviend;LogMobil;LogSan;LogTransp;LogEns;LogTur;LogOtros
Almería;13.335791;12.596262;13.165668;12.026150;10.973152;12.542670;11.769264;12.637748;11.583701
Cádiz;13.435625;12.224006;12.963813;11.729342;11.012990;12.563355;11.758159;12.654719;11.332877
Córdoba;13.289182;12.489762;13.096313;11.638553;10.522207;12.377165;11.667910;12.419311;11.288831
Granada;13.212849;12.383474;13.035362;11.691406;10.605099;12.374523;11.551194;12.514689;11.195650
Huelva;13.383535;12.411956;13.254498;11.505397;11.034131;12.442275;11.721921;12.383717;11.327439
Jaén;13.228901;12.118852;12.714882;11.366326;10.522988;11.827678;10.961399;12.153784;10.956248
Málaga;13.333884;12.212790;13.138733;11.703628;11.059079;12.456726;11.762407;12.687362;11.450742
Sevilla;13.340004;12.246043;13.216580;11.830710;10.716660;12.604849;11.680717;12.639555;11.344672
Huesca;13.265783;12.426452;12.930978;11.589664;10.586635;12.722882;11.413624;12.333876;11.430663
Teruel;13.208978;12.205012;12.748161;11.713038;10.652093;12.320677;11.410793;12.378962;11.263669
Zaragoza;13.229848;12.493009;13.116323;11.794466;10.898700;12.368140;11.686299;12.550970;11.286251
Asturias;13.345413;12.543519;13.182193;11.791057;10.962648;12.736739;11.913479;12.661844;11.702355
Baleares;13.243200;12.331894;13.308672;11.877603;11.371396;12.789098;11.922057;12.770121;11.789056
Las Palmas;13.357657;12.214557;13.167042;11.943246;11.340332;12.700732;12.061226;12.630124;11.649439
Tenerife;13.168246;12.049840;13.054992;11.685676;11.085935;12.623460;11.867939;12.555190;11.301698
Cantabria;13.311467;12.570518;13.392282;11.689137;11.055957;12.619099;11.667807;12.530555;11.565717
Ávila;13.205960;12.399206;12.868923;11.438288;10.758647;12.447304;11.218850;12.432622;11.315218
Burgos;13.308523;12.451240;13.304887;11.996376;10.845602;12.542627;11.791776;12.617563;11.619301
León;13.342377;12.409993;13.123191;11.820631;10.637465;12.716096;11.692385;12.496897;11.894330
Palencia;13.287386;12.235864;13.015030;11.641442;10.456999;12.423681;11.659836;12.591566;11.601522
Salamanca;13.099676;12.030612;12.899342;11.267242;10.105448;12.181088;11.154048;12.170736;10.904891
Segovia;13.176927;12.127246;13.028861;11.546805;10.743696;12.288371;11.423395;12.467302;11.663954
Soria;13.429439;12.357389;13.129726;11.773504;10.915088;12.514472;11.674934;12.611584;11.701916
Valladolid;13.248751;12.315828;13.247114;11.853482;10.738807;12.445940;11.911977;12.700080;11.497101
Zamora;13.207673;12.094219;12.905088;11.512455;10.377950;12.333423;11.160285;12.352668;11.738721
Albacete;13.191776;12.203865;12.961251;11.833551;10.932518;12.355393;11.560439;12.583509;11.426659
Ciudad Real;13.210213;12.333828;13.097355;11.741972;10.691968;12.349393;11.392451;12.346760;11.417361
Cuenca;13.135899;12.176417;12.949171;11.603981;10.838816;12.304460;11.273055;12.506318;11.545276
Guadalajara;13.212038;12.099734;13.076206;11.657761;10.599855;12.608781;11.460821;12.569684;11.381905
Toledo;13.276500;12.451083;12.928526;11.781019;11.087436;12.550113;11.569986;12.395655;11.713324
Barcelona;13.462998;12.458499;13.462137;12.035854;11.488582;12.808351;12.385001;12.846133;11.512215
Gerona;13.435985;12.560409;13.246613;11.913767;11.258717;12.467817;12.162121;12.704084;11.811444
Lérida;13.453883;12.553676;13.140019;11.896642;11.416723;12.904389;12.104328;12.774575;11.937696
Tarragona;13.281283;12.553598;13.231492;11.921479;11.048554;12.712432;12.131958;12.851827;11.651609
Alicante;13.269671;12.234101;13.102640;11.807489;11.129334;12.604644;11.675979;12.665631;11.624073
Castellón de la Plana;13.115458;12.214071;12.928711;11.587467;10.667536;12.264582;11.345808;12.395846;11.256354
Valencia;13.198528;12.337417;13.047914;11.838041;11.042458;12.563565;11.811184;12.860840;11.477961
Badajoz;12.972568;12.228465;12.715742;11.427705;10.624055;12.141534;11.257788;12.224934;11.026435
Cáceres;13.253055;12.313832;12.908048;11.687534;10.776954;12.423484;11.515741;12.563327;11.404627
La Coruña;13.447984;12.425694;13.135509;11.862208;10.935141;12.533219;11.865313;12.574566;11.594404
Lugo;13.485725;12.564715;12.935776;11.868002;11.047376;12.617742;11.531639;12.286237;11.690218
Orense;13.302464;12.113837;12.823596;11.579396;10.366561;12.306045;11.650319;12.235248;11.409607
Pontevedra;13.509584;12.481729;13.058324;11.821909;10.835947;12.749237;11.772864;12.642225;11.515472
Madrid;13.415894;12.444806;13.669968;11.905062;11.369067;12.883253;12.356159;12.995155;11.777518
Murcia;13.322391;12.255667;13.062314;11.764672;10.755048;12.671403;11.542271;12.648390;11.647954
Navarra;13.413662;12.691202;13.465346;12.310225;11.304424;12.936788;12.130772;12.926414;11.960767
Álava;13.406715;12.363640;13.355278;12.150396;10.975174;12.654064;12.012063;12.780661;11.502289
Guipuzcoa;13.374119;12.447657;13.412694;11.928037;11.034648;12.619807;12.040767;12.912282;11.608190
Vizcaya;13.362842;12.553767;13.426633;11.961527;11.125777;12.728589;12.079500;12.955416;11.794881
La Rioja;13.361127;12.253686;13.204231;11.756773;10.909326;12.505596;11.749712;12.684928;11.710497
Ceuta y Melilla;13.427983;12.167041;12.800275;11.310479;10.210641;11.840105;11.314218;12.329524;11.084217
